data,lançamento,valor
2026-05-20,O SAPEKA COMERCIO DE CPORTO VELHOBR,343.23
2026-05-20,SPDX ADMINIS*FormJUIZ DE FORABR,779.93
2026-05-18,PAPELARIA LIBERDADEPORTO VELHOBR,71.37
2026-05-18,IFD*iFoodOsascoBR,7.95
2026-05-16,Foco Aluguel deRecifeBR,202.01
2026-05-15,IngressomixComManausBR,230
2026-05-15,ANOMALYANOMA.LYUS,28.46
2026-05-15,IOF INTERNACIONAL - ANOMALYANOMA.LYUS,1
2026-05-15,Azul Linhas Aereas BrasilBaureriBR,37.8
2026-05-14,EBN    *TikTok ShopSAO PAULOBR,25.46
2026-05-13,OLLA SERVICOS E INTERNEPORTO VELHOBR,149.9
2026-05-13,CLARO FLEXSAO PAULOBR,34.99
2026-05-12,HDI SEGUROS SASao PauloBR,165.3
2026-05-10,NETFLIX ENTRETENIMENTOBARUERIBR,59.9
2026-05-09,LANCHEPAOPORTO VELHOBR,30
2026-05-08,MERCADOLIVRE*MIMOSOSASCOBR,59.95
2026-05-08,HNA*OBOTICARIOREGISTROBR,77.8
2026-05-07,ULTRA POPULAR PVH01PORTO VELHOBR,119.45
2026-05-07,PAPELARIA RIO MADEIRAPORTO VELHOBR,10.15
2026-05-07,CENTRO ENSINO SAO LUCAPORTO VELHOBR,420
2026-05-06,CLUBE LIVELO*ClubSANTANA DE PABR,44.9
2026-05-06,Pagamento PIX,-9769.5
2026-05-05,LANCHEPAOPORTO VELHOBR,20
2026-05-04,BLU INSTITUICAO DE PAGPORTO VELHOBR,39.95
2026-05-04,SCRIBD R687132013SCRIBD.COMUS,29.72
2026-05-04,IOF INTERNACIONAL - SCRIBD R687132013SCRIBD.COMUS,1.04
2026-05-04,REGIAO ADMINISTRAPORTO VELHOBR,980.87
2026-05-02,EDZCURSOFOTOOSASCOBR,5.42
2026-04-30,ARTE FESTA LTDA EPPPORTO VELHOBR,31.25
2026-04-30,Amazon Kindle UnltdSAO PAULOBR,24.9
2026-04-29,IFD*SANTO GRAAL RESTAUPORTO VELHOBR,47.79
2026-04-29,Mensalidade - Plano do cartão,94.5
2026-04-29,Itaú Avisa,7.99
2026-04-28,PostoRosaPORTO VELHOBR,253.2
2026-04-28,DM*helphbomaxcomSAO PAULOBR,22.45
2026-04-27,DL*GOOGLE Hevy GSAO PAULOBR,99.9
2026-04-24,HNA*OBOTICARIOPORTO VELHOBR,57.9
2026-04-24,AREZZOPORTO VELHOBR,164.95
2026-04-24,STUDIO ZPORTO VELHOBR,94.99
2026-04-24,RDSAUDE ONLINESAO PAULOBR,617.02
2026-04-16,MEDQUIMPORTO VELHOBR,204.16
2026-04-11,RDSAUDE ONLINESAO PAULOBR,125.87
2026-04-01,AMAZONMKTPLC*PERESPEREGARCABR,297.94
2026-03-31,RDSAUDE ONLINESAO PAULOBR,468.91
2026-03-18,AZULBIWMHP             BARUERI       BR,385.05
2026-03-16,PG *CANTE AS ESCR      SAO PAULO     BR,12.75
2026-01-13,PG *PRIVALIA PRIV      SAO PAULO     BR,191.94
2026-01-12,AMAZONMKTPLC*UPTECHDOB BARUERI       BR,51.28
2025-11-30,ESTETICA BOTOCENTER    PORTO VELHO   BR,54.9
2025-11-26,PARC*AmazonPrimeCanais,32.27
2025-11-07,AdaptaOrg              Sao Paulo     BR,199
2025-10-18,EC *ADAPTA             SAO PAULO     BR,99
2025-10-16,AZULXN1PMG             BARUERI       BR,306.66
2025-07-23,MERCADOPAGO*EDUZZ      SOROCABA      BR,29.7
